,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,I05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,I24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J01,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,J21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
